"Description","Platform","Date of Impact","Macro","Meso","Micro","Media","Story","Story Link","Publications","Story Partner","Topic","Subtopic","Grant","Tags","Submitter","Author","Attachments","Additional notes","Edit","ID"
"5 Podcasts You Need to Listen to Right Now","","03/25/2017","","","","","","","

  The Mary Sue","","","","","","","","","can be tough to find. Reveal, created by The Center for Investigative Reporting and the Public Radio Exchange, is public radio’s first one-","edit","66876"
"Happy #Trypod Month!","","03/26/2017","","","","","","","

  Jen McMillin","","","","","","","","","including about junk science in the courtroom. Reveal – From the Center for Investigative Reporting, this is Reveal. When I hear Al Letson’s","edit","66881"
"Changes to KALW's programming for spring!","","03/27/2017","","","","","","","

  KALW","","","","","","","","","hosted by Tom Ashbrook from WBUR in Boston.

Reveal from the Center for Investigative Reporting, which has aired Mondays at 11am, will move","edit","66886"
"CIR receives joint grant from Democracy Fund and First Look Media","","03/27/2017","","","","","","","

  Reveal","","","","","","","","","Today, The Center for Investigative Reporting received a generous $3 million general operating grant from the Democracy Fund and First Look","edit","66891"
"First Look Media and Democracy Fund Announce $12 Million+ in New Grants to Support an Independent, Robust Free Press","","03/27/2017","","","","","","","

  Oklahoma's Own","","","","","","","","","Support will bolster investigative journalism at Center for Investigative Reporting, Center for Public Integrity, and ProPublica, among","edit","66896"
"Democracy Fund and First Look Media are giving $9 million to nonprofit newsrooms","","03/27/2017","","","","","","","

  Poynter.","","","","","","","","",": ProPublica, the Center for Public Integrity and the Center for Investigative Reporting.

Democracy Fund and First Look Media are also","edit","66901"
"Democracy Fund and First Look Media Announce Over $12 Million Worth of Grants to News Organizations","","03/27/2017","","","","","","","

  Adweek Magazine","","","","","","","","","Of the joint grants, three nonprofit organizations, the Center for Investigative Reporting, the Center for Public Integrity, and ProPublica","edit","66906"
"Trump’s OSHA won’t name and shame businesses. So someone else is","","03/27/2017","","","","","","","

  Blog - Reveal","","","","","","","","","Will Evans contributed to this story.

Jennifer Gollan can be reached at jgollan@revealnews.org. Follow her on Twitter: @jennifergollan.","edit","66911"
"First Look Media and Democracy Fund to provide $12M for investigative journalism","","03/27/2017","","","","","","","

  Current.org","","","","","","","","","nonprofits tackle today’s political landscape.

Grantees include the Center for Investigative Reporting, the Center for Public Integrity and","edit","66916"
"Legislation introduced in Arizona to protect groundwater","","03/09/2017","Law proposed","","","Full story","","","

  Arizona Capital Times
  (Print)
","","Reveal (general)","Food security","","water, food, groundwater","","","","","edit","66921"
"U.S. Senate introduces law to protect food security","","03/14/2017","Law proposed","","","","","","

  Press Release from U.S. Senate","","CIR (general)","Food security","","","","","","This bill is being reintroduced based on our Smithfield-Shuanghui coverage. ","edit","66926"
"First Look Media and Democracy Fund Announce $12 Million+ in New Grants to Support an Independent, Robust Free Press","","03/28/2017","","","","","","","

  All Daily News","","","","","","","","","robust free press. Three leading nonprofit news organizations – the Center for Investigative Reporting, the Center for Public Integrity, and","edit","66931"
"Democracy Fund, First Look Media Award $12 Million for Press Freedom","","03/27/2017","","","","","","","

  Philanthropy News Digest","","","","","","","","","support of press freedom.

Three nonprofit news organizations, the Center for Investigative Reporting, the Center for Public Integrity, and","edit","66936"
"Staff changes announced at The Frontier","","03/27/2017","","","","","","","

  The Frontier","","","","","","","","","Frontier, Ziva Branstetter is leaving Tulsa to join the Center for Investigative Reporting in California and Dylan Goforth is being named","edit","66941"
"Newsonomics: Can Dutch import De Correspondent conquer the U.S.?","","03/28/2017","","","","","","","

  Nieman Journalism Lab","","","","","","","","","First Look funding, which also provides $3 million each to Center for Investigative Reporting, Center for Public Integrity, and ProPublica.)","edit","66946"
"Brazil probes fraud by alleged cult using proof US officials dismissed","","03/28/2017","","","","","","","

  Reveal","","","","","","","","","André Batista Neves said in an interview with Reveal from The Center for Investigative Reporting. “This group is qualified as an organized","edit","66951"
"US foreign aid follows complex path to Teachers Group’s coffers","","03/28/2017","","","","","","","

  Reveal","","","","","","","","","with questionable results, as an investigation by Reveal from The Center for Investigative Reporting found last year in when it visited U.S.","edit","66956"
"On second thought: UNESCO rescinds prize for scrutinized aid group","","03/28/2017","","","","","","","

  Reveal","","","","","","","","","Foreign Agricultural Service since 2004.

Reveal from The Center for Investigative Reporting previously reported that DAPP and Planet Aid","edit","66961"
"Happy that I’m leaving? Don’t be. The Frontier is here to stay","","03/28/2017","","","","","","","

  The Frontier","","","","","","","","","love, I’ve accepted an offer to become a senior editor at The Center for Investigative Reporting in the Bay area.

I know this news will be","edit","66966"
"New senior editors bring expertise to CIR and Reveal","","03/28/2017","","","","","","","

  Reveal","","","","","","","","","Two senior editors will be joining Reveal from The Center for Investigative Reporting in April, strengthening our team at a crucial time and","edit","66971"
"Trump targets DOL for budget cuts","","03/28/2017","","","","","","","

  Politico","","","","","","","","","that were fined since Trump took office, according to the Center for Investigative Reporting. The former employee, Jordan Barab, said he was","edit","66976"
"Ziva Branstetter Announces Departure From 'The Frontier'","","03/28/2017","","","","","","","

  NewsOn6.com","","","","","","","","","Frontier, Ziva Branstetter, is leaving Tulsa to join the Center for Investigative Reporting in California.

She and The Frontier made the","edit","66981"
"Newsonomics: Can Dutch import De Correspondent conquer the U.S.?","","03/28/2017","","","","","","","

  SeriouslyMedia","","","","","","","","","First Look funding, which also provides $3 million each to Center for Investigative Reporting, Center for Public Integrity, and ProPublica.)","edit","66986"
"Need to Know: March 28, 2017","","03/28/2017","","","","","","","

  American Press Institute","","","","","","","","","support the press, including $3M each to ProPublica, the Center for Investigative Reporting (Democracy Fund); Gabriel Escobar has been named","edit","66991"
"Mercer ties tie up Breitbart press creds — Atlantic joins U.S. media’s Euro migration — journalism’s other newspaper war","","03/28/2017","","","","","","","

  Politico","","","","","","","","","$12 million in grants to nonprofit outlets including the Center for Investigative Reporting, the Center for Public Integrity and ProPublica.","edit","66996"
"Reveal – Against their will: The real – and virtual – places sex exploitation thrives","","03/28/2017","","","","","","","

  KGNU News","","","","","","","","","new level.

Reveal is a weekly radio program produced by The Center for Investigative Reporting and PRX. For more, check out our website and","edit","67001"
"Scientists: Trump's border wall would devastate wildlife habitat","","03/28/2017","","","","","","","

  TucsonSentinel.com","","","","","","","","","and Reveal, a public radio show and podcast from The Center for Investigative Reporting and PRX. Disclosure: The Nature Conservancy and","edit","67006"
"How increased security affects life for border residents","","03/28/2017","","","","","","","

  PBS NewsHour","","","","","","","","","from the nearby checkpoints. A 2013 report by the Center for Investigative Reporting found that Border Patrol around Yuma had some of the","edit","67011"
"With its big London expansion, The Atlantic will chase stories — and business opportunities — in Europe: The latest from Nieman Lab","","03/28/2017","","","","","","","

  YULI AKHMADA","","","","","","","","","Rosen at NYU and the Dutch outfit De Correspondent. The Center for Investigative Reporting, the Center for Public Integrity, and ProPublica","edit","67016"
"Comment on Is The 1st Amendment In Jeopardy? by David Plimpton","","03/29/2017","","","","","","","

  Comments for Maine Crime Writers","","","","","","","","","for Public Integrity (publicintegrity.org) Reveal (The Center for Investigative Reporting) (revealnews.org) AllSides (allsides.com) C-SPAN (","edit","67021"
"Former OSHA official publishes safety citations amid agency's halt on press releases","","03/29/2017","","","","","","","

  Construction Dive","","","","","","","","","the information on his own blog, according to the Center for Investigative Reporting.
Jordan Barab, former deputy assistant secretary at","edit","67026"
"These border bids are subtle resistance to Trump’s wall","","03/29/2017","","","","","","","

  Blog - Reveal","","","","","","","","","we haven’t even submitted our concept yet.”

Andrew Becker can be reached at abecker@revealnews.org. Follow him on Twitter: @ABeckerReveal.","edit","67031"
"Grants Roundup: $2.5 Million Award Helps NYC Theater Build New Home","","03/29/2017","","","","","","","

  The Chronicle of Philanthropy","","","","","","","","","million apiece will support independent journalism projects at the Center for Investigative Reporting, the Center for Public Integrity, and","edit","67036"
